"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID70893502","393098-44-7","KFHDQTKUUBFHAY-UHFFFAOYSA-N","C48H12F87O4P",2335.908400634,"O=P(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID701036704","NOCAS_1036704","WXLYPBQPQHFMLV-UHFFFAOYNA-N","C20H10F33NO",907.0235452,"CNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID40292124","362-57-2","MDUFGROXFHHGDP-UHFFFAOYSA-N","C14H7F7O2S",372.005498004,"O=C(CC(=O)C(F)(F)C(F)(F)C(F)(F)F)c1csc2ccccc12"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID40895457","66256-52-8","DVQLQARMQAHYFI-UHFFFAOYSA-N","C11F22",549.96487084,"FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID701027006","NOCAS_1027006","HEYJDQVLQODTRE-UHFFFAOYNA-N","C11H12F12O6S2",531.988368744,"CC(F)(C(F)(F)C(F)(F)F)S(=O)(=O)OCCCOS(=O)(=O)C(C)(F)C(F)(F)C(F)(F)F"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID201034339","98900-72-2","IDGWCSFHOREEBM-UHFFFAOYNA-M","C14H18F13N2NaO7S2",660.024554056,"CN(C)CC(O)CN(CC(O)CS(=O)(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+]"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID00631434","62116-47-6","ZROQYIGQRUENQQ-UHFFFAOYSA-N","C7H7F7",224.043597764,"CC(C)=C(F)C(C(F)(F)F)C(F)(F)F"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID40711764","138506-00-0","XZPZCHSPDJPFSV-UHFFFAOYSA-N","C8H10F4O2",214.06169244,"C=C(C)C(=O)OCCC(F)(F)C(F)F"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID80881359","51588-53-5","KGVPINIFWHGDKX-UHFFFAOYSA-M","C12H5F17NNaO3",556.98956704,"CN(CC(=O)[O-])C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+]"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID20605516","62999-25-1","AHZJWMHSAWQPIH-UHFFFAOYSA-N","C5F9IO",373.8850166,"O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I"
