"name","INCHIKEY","FORMULA","SMILES","ID","CAS","MONOISOTOPIC_MASS","parent","transformation","generation","Type","biosystem","REF","NumHDonors","NumHAcceptors"
"Atrazine-TP8","ZCMOXKOUKFOYFB-UHFFFAOYSA-N","C5H9N5","CCNC1=NC(=NC=N1)N","9",NA,"139.085795288","Atrazine","EAWAG_RULE_BT0063_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",2,5
"Atrazine-TP5","CSCPPACGZOOCGX-UHFFFAOYSA-N","C3H6O","C(C)(C)=O","10",NA,"58.041864812","Atrazine","EAWAG_RULE_BT0063_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",0,1
"Atrazine-TP9","QTBSBXVTEAMEQO-UHFFFAOYSA-N","C2H4O2","CC(=O)O","11",NA,"60.021129368","Atrazine","EAWAG_RULE_BT0003","2","TP","ENVMICRO","BioTransformer_env",1,1
"Atrazine-TP7","WBEKRMVYCWRRDJ-UHFFFAOYSA-N","C6H11N5","NC1=NC(=NC=N1)NC(C)C","12",NA,"153.101445352","Atrazine","EAWAG_RULE_BT0029","2","TP","ENVMICRO","BioTransformer_env",2,5
"Atrazine-TP10","FVFVNNKYKYZTJU-UHFFFAOYSA-N","C3H4ClN5","NC1=NC(=NC(=N1)Cl)N","13",NA,"145.015522808","Atrazine","EAWAG_RULE_BT0063_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",2,5
"Atrazine-TP5","CSCPPACGZOOCGX-UHFFFAOYSA-N","C3H6O","C(C)(C)=O","14",NA,"58.041864812","Atrazine","EAWAG_RULE_BT0063_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",0,1
"Atrazine-TP11","RENJVZBIVKQIPU-UHFFFAOYSA-N","C6H9ClN4O","C1(=NC(=NC(=N1)Cl)NC(C)C)O","15",NA,"188.046488588","Atrazine","EAWAG_RULE_BT0330_PATTERN3","2","TP","ENVMICRO","BioTransformer_env",2,5
"Atrazine-TP12","GCKLGRUZDXSATG-UHFFFAOYSA-N","C6H11N5O","NC1=NC(=NC(=N1)O)NC(C)C","16",NA,"169.096359972","Atrazine","EAWAG_RULE_BT0330_PATTERN4","2","TP","ENVMICRO","BioTransformer_env",3,6
"Atrazine-TP8","ZCMOXKOUKFOYFB-UHFFFAOYSA-N","C5H9N5","CCNC1=NC(=NC=N1)N","17",NA,"139.085795288","Atrazine","EAWAG_RULE_BT0029","2","TP","ENVMICRO","BioTransformer_env",2,5
"Atrazine-TP2","IKHGUXGNUITLKF-UHFFFAOYSA-N","C2H4O","CC=O","18",NA,"44.026214748","Atrazine","EAWAG_RULE_BT0063_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",0,1
"Atrazine-TP10","FVFVNNKYKYZTJU-UHFFFAOYSA-N","C3H4ClN5","NC1=NC(=NC(=N1)Cl)N","19",NA,"145.015522808","Atrazine","EAWAG_RULE_BT0063_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",2,5
"Atrazine-TP13","NZRYDMXBGUDOMX-UHFFFAOYSA-N","C5H7ClN4O","CCNC1=NC(=NC(=N1)Cl)O","20",NA,"174.030838524","Atrazine","EAWAG_RULE_BT0330_PATTERN3","2","TP","ENVMICRO","BioTransformer_env",2,5
"Atrazine-TP14","XRVCXZWINJOORX-UHFFFAOYSA-N","C5H9N5O","CCNC1=NC(=NC(=N1)O)N","21",NA,"155.080709908","Atrazine","EAWAG_RULE_BT0330_PATTERN4","2","TP","ENVMICRO","BioTransformer_env",3,6
"Atrazine-TP15","XLSMFKSTNGKWQX-UHFFFAOYSA-N","C3H6O2","C(C)(CO)=O","22",NA,"74.036779432","Atrazine","EAWAG_RULE_BT0332","2","TP","ENVMICRO","BioTransformer_env",1,2
"Atrazine-TP16","ILHRXTGGTUPFJR-UHFFFAOYSA-N","C5H8N4O2","CCNC1=NC(=NC(=N1)O)O","23",NA,"156.064725496","Atrazine","EAWAG_RULE_BT0061","2","TP","ENVMICRO","BioTransformer_env",3,6
"Atrazine-TP17","JJWLVOIRVHMVIS-UHFFFAOYSA-N","C3H9N","NC(C)C","24",NA,"59.073499288","Atrazine","EAWAG_RULE_BT0061","2","TP","ENVMICRO","BioTransformer_env",1,1
"Atrazine-TP18","QUSNBJAOOMFDIB-UHFFFAOYSA-N","C2H7N","CCN","25",NA,"45.057849224","Atrazine","EAWAG_RULE_BT0061","2","TP","ENVMICRO","BioTransformer_env",1,1
"Atrazine-TP19","DBFMBHXVWIURSV-UHFFFAOYSA-N","C6H10N4O2","C1(=NC(=NC(=N1)O)NC(C)C)O","26",NA,"170.08037556","Atrazine","EAWAG_RULE_BT0061","2","TP","ENVMICRO","BioTransformer_env",3,6
"Atrazine-TP2","IKHGUXGNUITLKF-UHFFFAOYSA-N","C2H4O","CC=O","27",NA,"44.026214748","Atrazine","EAWAG_RULE_BT0063_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",0,1
