mz,ret,int,mod,kmd,HS_num
699.972474375294,749.8525,20919.5,0.0171842152940371,-0.0171853129406827,1
300.055309725203,668.894,1685.5,0.0744710852030153,-0.0744758420644303,2
300.059486629122,525.6185,6159.5,0.0786479891219756,-0.0786530127842866,3
250.154969908149,406.117,1196.5,0.170937708149012,-0.170948626842943,4
200.176177175705,316.973,1191,0.188951415704992,-0.188963485029518,5
200.176255797776,403.288,3919,0.189030037776007,-0.189042112122536,5
250.191407966834,562.965,2820,0.207375766833991,-0.20738901301911,7
350.207402504017,384.891,1112,0.229757424017009,-0.229772099836737,8
400.225121199583,672.524,87999,0.250669679582984,-0.250685691178944,9
350.228635164683,825.5265,7637.5,0.250990084682996,-0.251006116744861,9
300.264057391283,746.066,6343,0.283218751283016,-0.28323684195999,11
400.278801322724,751.3695,26168,0.304349802724005,-0.304369243152848,12
450.279834413168,747.49,1949,0.308576453167973,-0.30859616357526,13
500.297692061724,414.604,346255,0.329627661723976,-0.32964871678314,14
500.311610457108,631.7525,5778,0.343546057107972,-0.343568001208496,15
750.313423459351,738.879,1889,0.361326859351038,-0.361349939205297,16
400.335962967185,884.242,1868.5,0.361511447185023,-0.361534538829858,16
600.337193884484,727.88,1797,0.375516604484005,-0.375540590712149,18
600.354721930604,844.752,4161,0.393044650603997,-0.393069756441037,19
700.381724832846,813.673,5514,0.426434672845971,-0.426461911479919,20
550.44795951798,699.88,5231,0.483088677980049,-0.483119535404512,21
700.473180530287,854.623,1112.5,0.517890370286977,0.482076549320823,22
650.482394505862,964.1175,6793,0.523910785861972,0.476055749189982,23
700.49635331106,972.11,3139,0.54106315106003,0.458902288379818,24
800.492863500758,854.623,1368,0.543960460757944,0.456004793615421,24
750.516675762927,876.818,1251,0.564579162926975,0.435384774420982,26
850.516139175029,881.766,40745,0.57042969502902,0.429533868614499,27
700.55900527693,753.3925,12214,0.603715116929948,0.396246320598038,28
950.54814662511,633.793,3049,0.608824265110002,0.391136846069799,29
800.57589886371,773.3295,3213,0.62699582370999,0.372964126756301,30
850.584440842337,780.718,5253,0.638731362337012,0.361227838518516,31
900.583957107022,672.524,6081.5,0.641441187021996,0.358517840742707,31
1050.57545731531,641.973,1344.5,0.642522075309898,0.357436883412674,31
750.598017551516,781.9525,11170,0.645920951516018,0.354037790102552,34
1050.58192095574,719.417,2385,0.648985715740082,0.350972830115779,34
1000.59194690599,414.604,55956,0.655818105989965,0.344140003445091,36
950.596237990566,871.294,1748,0.656915630566004,0.34304240876429,36
1000.6208417494,864.5085,16139,0.684712949400023,0.315243314368786,38
1000.69276343887,888.587,1696,0.756634638869969,0.243317030880689,39
1100.69809322863,424.503,1669,0.76835154862988,0.231599372699975,40
700.91948791312,751.181,1936.5,0.964197753119947,0.0357406584787441,41
750.918827559444,779.486,1300,0.966730959444021,0.0332072903454446,41
600.930859311514,632.43,1989,0.969182031514038,0.0307560617125091,43
550.934375383398,602.458,1703,0.969504543397989,0.0304335292280484,43
400.948761602539,284.4225,1696,0.974310082538977,0.0256276831318587,45
251.151276418086,247.86,1128,1.16724421808601,-0.167318776137023,46
251.187012041482,363.667,1119,1.202979841482,-0.20305668215596,47
351.198636389889,213.318,1610,1.22099130988897,-0.221069301050534,48
351.212851564845,635.156,14862,1.23520648484498,-0.235285384004783,49
351.231755327992,874.721,1609,1.254110247992,-0.254190354635,50
651.216955957195,362.253,1071,1.25847223719495,-0.258552622461252,51
551.235458392736,214.821,13213.5,1.27058755273595,-0.270668711871394,52
751.234847549756,454.689,1894,1.28275094975595,-0.282832885831795,53
301.267296618734,747.295,1528,1.28645797873401,-0.286540151597308,53
501.273397928389,241.856,1917.5,1.30533352838899,-0.305416906933374,55
401.287824076907,745.029,1089,1.31337255690698,-0.313456448946511,56
551.282296945912,628.341,8139,1.31742610591198,-0.317510256873106,57
451.291578516537,768.413,1226,1.32032055653701,-0.320404892381987,57
551.318496803712,769.645,2175,1.35362596371203,-0.353712426949187,59
751.3139723703,740.108,1197,1.3618757703,-0.361962760495885,60
501.336024972422,808.4295,1032,1.36796057242202,-0.368047951286314,61
651.333395090389,643.336,5370,1.37491137038899,-0.3749991932375,62
601.339892093205,812.1215,96083.5,1.37821481320498,-0.378302847061832,62
651.370284067095,857.089,23335.5,1.41180034709498,-0.41189052623713,64
651.371369934677,790.575,2194,1.41288621467697,-0.412976463179234,64
701.383911467462,818.281,2131,1.42862130746198,-0.428712561047746,66
801.38580559013,640.609,9774,1.43690255012996,-0.436994332682275,67
851.399221643854,692.064,1517,1.45351216385404,-0.453605007350234,68
651.428023626982,716.813,67355,1.46953990698205,-0.469633774254703,69
551.436176594839,703.788,1237,1.47130575483902,-0.471399734905845,69
551.459053731844,633.793,1643,1.49418289184405,-0.494278333194302,71
751.472168027266,884.242,1213,1.52007142726598,0.479831477746302,72
801.471970496882,869.414,4491,1.52306745688202,0.476835256758022,72
901.515849883393,848.455,1327,1.573333963393,0.426565539459943,74
701.529348075299,731.137,6022,1.57405791529902,0.425841541311229,74
601.549979792979,883.004,37476,1.588302512979,0.411596033753654,76
801.559809597461,896.629,31610,1.61090655746102,0.388990545431966,77
751.564312887276,825.048,1384,1.61221628727594,0.387680731957744,77
951.552402164126,633.1115,1427.5,1.61307980412596,0.386817159950283,77
751.567600502158,939.829,3202,1.61550390215803,0.384392907078222,80
851.562443981558,906.526,2390,1.61673450155797,0.383162229073378,80
801.581831870829,789.343,27910,1.63292883082897,0.366966865385052,82
851.59624137021,800.426,28323.5,1.65053189021,0.349362681603679,83
