"int","exp_modulo","INCHIKEY","FORMULA","SMILES","NumHDonors","NumHAcceptors","MD","KMD","modulo","parent","rep_unit","rep_mass","rep_num","residual","residual_charge","residual_mass","MONOISOTOPIC_MASS","TYPE","LIST_ID","HS_num","Homologues","exp_KMD","mz","ret","PREFERRED_NAME","ACRONYM"
1688,33.340134011587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,-0.342263621975235,633.301811291587,716.813,NA,NA
11146,36.603172279537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0.39448968259228,736.558462439537,667.316,NA,NA
25689,36.606998152925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0.390663564825672,786.559094752925,894.1575,NA,NA
1230,36.604020714561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0.393641193374378,886.549730194561,896.651,NA,NA
4678.5,48.981172116237,"FUVKFLJWBHVMHX-UHFFFAOYSA-N","C4H2F9NO2S","[H]N([H])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298.9662529,"Target","TargetsList_20240719.csv",6,6,0.0156991976895711,298.965204316237,213.318,"Perfluorobutanesulfonamide","FBSA"
14099,48.981344846015,"KTCODRNGNIXYDE-UHFFFAOYSA-N","C5H2F11NO2S","NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348.9630593,"Target","TargetsList_20240719.csv",6,6,0.0155264568783764,348.962183486015,235.845,"Perfluoropentane sulfonamide","FPeSA"
9486,48.980614733824,"WDZLGCSJJWEQJO-UHFFFAOYSA-N","C6H2F13NO2S","NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398.9598656,"Target","TargetsList_20240719.csv",6,6,0.0162566157055721,398.958259813824,275.518,"Perfluorohexanesulfonamide","FHxSA"
3746.5,48.980306997816,"ZYBNLNNCZHCXAC-UHFFFAOYSA-N","C7H2F15NO2S","NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448.9566719,"Target","TargetsList_20240719.csv",6,6,0.0165643713702934,448.954758517816,360.838,"Perfluoroheptane sulfonamide","FHpSA"
5223,48.979793502262,"RRRXPPIDPYTNJG-UHFFFAOYSA-N","C8H2F17NO2S","NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498.9534783,"Target","TargetsList_20240719.csv",6,6,0.0170778997239722,498.951051462262,499.011,"Perfluorooctanesulfonamide","FOSA"
6111,48.978040475734,"YUXIIBHHAPNFCQ-UHFFFAOYSA-N","C10H2F21NO2S","NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,598.9470909,"Target","TargetsList_20240719.csv",6,6,0.0188310382269492,598.942911315734,636.518,"Perfluoro-1-decanesulfonamide","FDSA"
8595,49.961264165849,"XBWQFDNGNOOMDZ-UHFFFAOYSA-N","C3HF7O3S","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.9534622,"Target","TargetsList_20240719.csv",7,4,0.0355445444237148,249.948489925849,202.0305,"Perfluoropropanesulfonic acid","PFPrS"
23923,49.9650405926,"QZHDEAJFRJCDMF-UHFFFAOYSA-N","C6HF13O3S","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399.9438812,"Target","TargetsList_20240719.csv",7,4,0.0317678764523635,399.9426856726,293.327,"Perfluorohexanesulfonic acid","PFHxS"
18477,49.963300420466,"MNEXVZFQQPKDHC-UHFFFAOYSA-N","C9HF19O3S","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,549.9343002,"Target","TargetsList_20240719.csv",7,4,0.0335081597404496,549.931364820466,602.458,"Perfluorononanesulfonic acid","PFNS"
14523,49.963116413542,"HYWZIAVPBSTISZ-UHFFFAOYSA-N","C10HF21O3S","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599.9311065,"Target","TargetsList_20240719.csv",7,4,0.033692178417823,599.927987253542,632.43,"Perfluorodecanesulfonic acid","PFDS"
