Calibration Report,5/8/2024 3:39:06 PM,
Batch File Name:  20240508,
Batch File Path:  N/A,
Original Data File Path:  D:\SCIEX OS Data\7600\Data\Cal\Cal-2024-05-08-15-39-06.wiff2,
 ,
 ,
TOF MS,
 ,
Peak finding criteria:,
Mass tolerance = 100 ppm,
Intensity threshold = 1000 cps,
Min. peak resolution = 10000,
Max. peak resolution = 60000,
Criteria for successful calibration:,
PPM Error after calibration(PPM) = 5,
 ,
Calibration Failed!,
"Calibration failed because m/z After Calibration (Da), Delta m/z After Calibration (Da), PPM Error After Calibration did not meet specification and/or peak was not found",
Used,m/z Expected (Da),Min. Search m/z (Da),Max. Search m/z (Da),m/z Before Calibration (Da),Delta m/z Before Calibration (Da),PPM Error Before Calibration,m/z After Calibration (Da),Delta m/z After Calibration (Da),PPM Error After Calibration,Intensity (cps),Resolution,Charge State,Mono-Isotopic,
No,132.9049,132.8916,132.9182,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,
Yes,266.1598,266.1332,266.1864,266.1614,0.0016,5.89,266.1614,0.0016,5.89,8850,33665,1,Yes,
Yes,354.2122,354.1768,354.2477,354.2144,0.0021,6.02,354.2144,0.0021,6.02,9781,36069,1,Yes,
Yes,442.2647,442.2204,442.3089,442.2672,0.0026,5.80,442.2672,0.0026,5.80,8795,37839,1,Yes,
Yes,609.2807,609.2197,609.3416,609.2842,0.0035,5.74,609.2842,0.0035,5.74,44392,49821,1,Yes,
Yes,829.5393,829.4564,829.6223,829.5443,0.0050,5.98,829.5443,0.0050,5.98,16967,44153,1,Yes,
Yes,961.4370,961.3408,961.5331,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,
No,1446.7322,1446.5876,1446.8769,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,
No,1561.6033,1561.4472,1561.7595,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,
No,2034.6255,2034.4220,2034.8289,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,
No,2149.4965,2149.2816,2149.7115,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,
 ,
 ,
 ,
 ,
TOF MS/MS Parent = 609.2807 Da,
 ,
Peak finding criteria:,
Mass tolerance = 100 ppm,
Intensity threshold = 100 cps,
Min. peak resolution = 10000,
Max. peak resolution = 60000,
Criteria for successful calibration:,
PPM Error after calibration(PPM) = 5,
 ,
Calibration Succeeded!,
