group	ret	mz	EC_022024	adduct	neutralMass
M418_R639_1720	639.245	418.296153621044	633	[M-H]-	418.296153621044
M419_R892_1721	891.694	418.754401324105	1958	[M-H]-	418.754401324105
M419_R201_1723	201.2745	419.135377487826	584.5	[M-H]-	419.135377487826
M419_R601_1724	601.096	419.227650371775	531.5	[M-H]-	419.227650371775
M419_R781_1725	781.3345	419.259200291241	781	[M-H]-	419.259200291241
M419_R889_1727	889.209	419.329465253691	58827.5	[M-H]-	419.329465253691
M419_R699_1728	698.577	419.303626346473	1954	[M-H]-	419.303626346473
M420_R877_1729	876.818	419.750517182288	342	[M-H]-	419.750517182288
M420_R185_1730	184.789	419.669044863195	458	[M-H]-	419.669044863195
M420_R233_1733	232.841	419.978900084576	1131.5	[M-H]-	419.978900084576
M420_R468_1734	468.212	419.978881427631	1435	[M-H]-	419.978881427631
M420_R600_1735	599.733	420.224286673447	385	[M-H]-	420.224286673447
M420_R493_1736	493.157	420.235857858168	401	[M-H]-	420.235857858168
M420_R839_1737	838.585	420.260366794999	93529.5	[M-H]-	420.260366794999
M420_R213_1738	213.318	420.191241189649	711	[M-H]-	420.191241189649
M420_R709_1739	708.999	420.322381812111	1479.5	[M-H]-	420.322381812111
M420_R868_1740	867.967	420.30805344613	1000	[M-H]-	420.30805344613
M421_R891_1741	891.072	420.761719511714	202	[M-H]-	420.761719511714
M421_R613_1745	613.3555	421.238706568466	362	[M-H]-	421.238706568466
M421_R839_1746	838.585	421.263352766446	17689.5	[M-H]-	421.263352766446
M421_R596_1750	595.646	421.278662398853	286	[M-H]-	421.278662398853
M422_R185_1751	184.789	421.666080394557	263	[M-H]-	421.666080394557
M422_R342_1753	342.444	421.998708882526	1674.5	[M-H]-	421.998708882526
M422_R234_1754	234.342	421.977581119812	245	[M-H]-	421.977581119812
M422_R211_1757	211.02	422.182797404772	530	[M-H]-	422.182797404772
M422_R607_1758	606.545	422.238501508079	576	[M-H]-	422.238501508079
M422_R582_1763	582.024	422.300056544626	534	[M-H]-	422.300056544626
M422_R726_1764	725.927	422.27432354013	907.5	[M-H]-	422.27432354013
M423_R889_1765	889.209	422.765454776129	326.5	[M-H]-	422.765454776129
M423_R615_1766	615.4005	423.249915224005	423.5	[M-H]-	423.249915224005
M423_R831_1769	831.0755	423.300973126559	944	[M-H]-	423.300973126559
M424_R892_1771	891.694	423.77317531009	732	[M-H]-	423.77317531009
M424_R208_1774	208.0645	424.175425790021	205	[M-H]-	424.175425790021
M424_R313_1775	312.674	424.175569407222	484	[M-H]-	424.175569407222
M424_R396_1776	395.5035	424.216858142843	263.5	[M-H]-	424.216858142843
M424_R583_1779	582.7105	424.193471562464	287.5	[M-H]-	424.193471562464
M424_R855_1780	854.623	424.313907534157	449	[M-H]-	424.313907534157
M424_R252_1781	252.362	424.280018328334	202	[M-H]-	424.280018328334
M425_R888_1782	887.965	424.75565825764	534.5	[M-H]-	424.75565825764
M425_R596_1784	595.646	425.221938580471	369	[M-H]-	425.221938580471
M425_R704_1785	703.788	425.249781526114	1028	[M-H]-	425.249781526114
M425_R313_1788	312.674	425.180585361415	224.5	[M-H]-	425.180585361415
M425_R721_1791	720.719	425.288181579583	392	[M-H]-	425.288181579583
M426_R889_1793	889.209	425.762156188021	304	[M-H]-	425.762156188021
M426_R267_1794	267.375	425.975565484119	524	[M-H]-	425.975565484119
M426_R778_1796	778.254	426.057477257099	302.5	[M-H]-	426.057477257099
M426_R204_1797	203.5585	426.163888804871	231	[M-H]-	426.163888804871
M426_R599_1798	599.052	426.246303349022	1357	[M-H]-	426.246303349022
M426_R393_1800	393.381	426.256659004525	228	[M-H]-	426.256659004525
M427_R892_1804	891.694	426.769720375855	1410	[M-H]-	426.769720375855
M427_R624_1806	623.577	427.238745906366	333	[M-H]-	427.238745906366
M427_R730_1807	729.833	427.243044740742	4653.5	[M-H]-	427.243044740742
M427_R885_1809	885.4905	427.269259227427	6579	[M-H]-	427.269259227427
M427_R722_1810	722.021	427.304406469895	807	[M-H]-	427.304406469895
M427_R783_1811	783.183	427.305090267015	28937	[M-H]-	427.305090267015
M427_R639_1812	639.245	427.272713570904	5609	[M-H]-	427.272713570904
M428_R888_1813	887.965	427.760982071337	368	[M-H]-	427.760982071337
M428_R324_1815	324.047	427.973456130033	6882	[M-H]-	427.973456130033
M428_R654_1818	654.4915	428.221228582077	1083	[M-H]-	428.221228582077
M428_R760_1819	759.765	428.249633108519	1534.5	[M-H]-	428.249633108519
M428_R396_1820	396.211	428.267883462277	225	[M-H]-	428.267883462277
M428_R884_1821	883.626	428.346098064361	2078	[M-H]-	428.346098064361
M428_R545_1822	544.5595	428.218996320461	1133	[M-H]-	428.218996320461
M428_R231_1823	230.5875	428.27909169603	995	[M-H]-	428.27909169603
M428_R662_1824	661.655	428.28357796603	250.5	[M-H]-	428.28357796603
M429_R889_1825	889.209	428.763194608787	366.5	[M-H]-	428.763194608787
M429_R324_1826	324.047	428.974817378667	754	[M-H]-	428.974817378667
M429_R209_1827	208.815	429.22018762065	213	[M-H]-	429.22018762065
M429_R550_1828	549.767	429.25623110188	293	[M-H]-	429.25623110188
M429_R617_1829	617.443	429.251636670696	372	[M-H]-	429.251636670696
M429_R371_1830	370.744	429.19838592499	208.5	[M-H]-	429.19838592499
M429_R783_1831	783.183	429.258702625727	4715	[M-H]-	429.258702625727
M429_R688_1832	688.154	429.287694620213	12378	[M-H]-	429.287694620213
