"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES"
"DTXSID00336619","117374-33-1","DCARDCAPXKDJAG-UHFFFAOYSA-N","C12H5F17O2","504.00180914","C=CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00338835","75743-06-5","VIFUJIXWSIVXKN-UHFFFAOYSA-N","C18H26F7NO5","469.169920472","CC(C)CCOC(=O)CC(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(=O)OCCC(C)C"
"DTXSID00344572","73980-71-9","BCQYNSPESDDJBZ-UHFFFAOYSA-N","C9H3F14NO2","422.994023416","CN(C(=O)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00346051","376-97-6","MWZCKSUNMWRVIG-UHFFFAOYSA-N","C5H2F7I","321.908945604","FC(F)(F)C(F)(F)C(F)(F)C=CI"
"DTXSID00365621","82422-33-1","JEZNKLYJYJESLE-UHFFFAOYSA-N","C11H6F7NO3","333.023590592","O=C(O)c1ccccc1NC(=O)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID0036926","335-27-3","LOQGSOTUHASIHI-UHFFFAOYSA-N","C8F16","399.97445152","FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F"
"DTXSID00369821","678-45-5","QYCPVKMFWNBDPV-UHFFFAOYSA-N","C8H2F12O4","389.976147184","O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O"
"DTXSID00369826","307-37-9","NIRPXSQCRWXHNZ-UHFFFAOYSA-N","C10H3F19O","499.988050896","OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00370992","812-72-6","DPOFHGRLDJWXKJ-UHFFFAOYSA-N","C11H7F15O","440.025738144","C=CCOCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00371287","128454-94-4","KVLSPRHWDKLGCE-UHFFFAOYSA-N","C8H2BrF13","423.913229024","FC(F)(F)C(F)(F)C(F)(F)C(C=CBr)(C(F)(F)F)C(F)(F)F"
"DTXSID00371601","335-48-8","RWWUGYJWSVESJC-UHFFFAOYSA-N","C4Br2F8","357.82389996","FC(F)(Br)C(F)(F)C(F)(F)C(F)(F)Br"
"DTXSID00375104","335-83-1","QPVJROJBHCURKR-UHFFFAOYSA-N","C13H5F19O2","553.99861558","C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00375109","77758-89-5","LQSJCHNACSIGQK-UHFFFAOYSA-M","C15H5F20IO3S","771.86847742","FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[I+]c1ccccc1.O=S(=O)([O-])C(F)(F)F"
"DTXSID00377688","169289-58-1","USFGKFMVGHXGNG-UHFFFAOYSA-N","C8H3F13O5","425.977290056","COC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F"
"DTXSID00377825","308-28-1","YHNMNWOUFKIZLY-UHFFFAOYSA-N","C10F18O3","509.95600182","O=C(OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00379248","129991-14-6","QOUXPUNWZRSOCX-UHFFFAOYSA-N","C9H5F13O2","392.00819626","O=C(O)CCC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F"
