"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES","NumHDonors","NumHAcceptors","Chemical List PFASMASTER-2024-01-11","Chemical List PFASSTRUCTV5-2024-03-04","input_suspect_testdata","OECDPFAS_list_22012019","PFAS Suspect List_v1.8","PRORISKPFAS"
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID101035865","NOCAS_1035865","KAKCXEYGKQVTLB-UHFFFAOYNA-N","C11H18F5NO5S2",403.054655776,"CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)CCC(F)(F)C(F)(F)F",2,4,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID50896637","27619-94-9","CJZMVGPCWZSDSZ-UHFFFAOYSA-M","C8H4F13NaO3S",449.957126128,"O=S(=O)([O-])CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+]",0,3,1,1,0,1,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID50222654","72307-48-3","DRRQILIGDQBMTB-UHFFFAOYSA-N","C20H10F6N4O",436.07588026,"O=C(c1nnc2c(-c3ccccc3)cnn2c1-c1ccc(F)cc1)C(F)(F)C(F)(F)F",0,4,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID001035517","1270179-74-2","YLXKUKZPBUXBRV-UHFFFAOYSA-N","C5H6F7NO2S",277.000746972,"CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F",1,2,1,1,0,0,1,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID30526480","89810-85-5","CKSNUONHAYYEEM-UHFFFAOYSA-N","C10H9F10NO",349.052446108,"O=C(C(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)N1CCCC1",0,1,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID70195598","42977-21-9","PFSDZNASIFXROJ-UHFFFAOYSA-N","C20H8F34S2",957.952451736,"FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0,2,1,1,0,1,1,1
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID401026811","NOCAS_1026811","XWKHVYYVLSSVEW-UHFFFAOYSA-N","C5H7F7OSi",244.015438914,"C[SiH](C)OC(F)(F)C(F)(F)C(F)(F)F",0,1,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID901022769","14160-54-4","CGZJJVPVIBKJNG-UHFFFAOYSA-N","C11H10F4O2",250.06169244,"CCOC(=O)C(F)(F)C(F)(F)c1ccccc1",0,2,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID70886858","67674-48-0","QGSVBFAODCJVIZ-UHFFFAOYSA-N","C10H8F6O3S",322.009834436,"Cc1ccc(S(=O)(=O)OC(C(F)(F)F)C(F)(F)F)cc1",0,3,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID70771619","143837-48-3","UYLGTFQVYFWRFU-UHFFFAOYSA-N","C7H7F7O",240.038512384,"FC(F)(F)C(F)(F)C(F)(F)C1CCOC1",0,1,1,1,0,1,1,1
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID90780364","2803-40-9","HYJJRTLQMVTDPN-UHFFFAOYSA-N","C16H21F11O2",454.136590332,"O=C(O)CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1,1,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID101022834","155445-01-5","ZLLZVLPPDHUNGR-UHFFFAOYSA-N","C15H7ClF10O2",443.997489344,"Cc1ccc2c(=O)cc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl)oc2c1",0,2,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID60626381","478282-30-3","DTBRXBGOZZAOLV-UHFFFAOYSA-N","C9H8F4O2",224.046042376,"COc1cccc(OC(F)(F)C(F)F)c1",0,2,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID70895667","132424-37-4","CZMPFGNWUIUUEE-UHFFFAOYSA-N","C12H7F17O2",506.017459204,"COC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0,2,1,1,0,1,1,1
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID701022068","54207-74-8","WWVKFEADLJWCEW-UHFFFAOYSA-N","C13H9F17O4S",583.995009508,"O=C(O)CCS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1,3,1,1,0,0,1,1
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID60883250","1095-78-9","BEKFRNOZJSYWKZ-UHFFFAOYSA-N","C15H12F6N2",334.090467704,"Nc1ccc(C(c2ccc(N)cc2)(C(F)(F)F)C(F)(F)F)cc1",2,2,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID701036704","NOCAS_1036704","WXLYPBQPQHFMLV-UHFFFAOYNA-N","C20H10F33NO",907.0235452,"CNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",2,2,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID40292124","362-57-2","MDUFGROXFHHGDP-UHFFFAOYSA-N","C14H7F7O2S",372.005498004,"O=C(CC(=O)C(F)(F)C(F)(F)C(F)(F)F)c1csc2ccccc12",0,3,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID701027006","NOCAS_1027006","HEYJDQVLQODTRE-UHFFFAOYNA-N","C11H12F12O6S2",531.988368744,"CC(F)(C(F)(F)C(F)(F)F)S(=O)(=O)OCCCOS(=O)(=O)C(C)(F)C(F)(F)C(F)(F)F",0,6,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID201034339","98900-72-2","IDGWCSFHOREEBM-UHFFFAOYNA-M","C14H18F13N2NaO7S2",660.024554056,"CN(C)CC(O)CN(CC(O)CS(=O)(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+]",2,8,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID40711764","138506-00-0","XZPZCHSPDJPFSV-UHFFFAOYSA-N","C8H10F4O2",214.06169244,"C=C(C)C(=O)OCCC(F)(F)C(F)F",0,2,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID80881359","51588-53-5","KGVPINIFWHGDKX-UHFFFAOYSA-M","C12H5F17NNaO3",556.98956704,"CN(CC(=O)[O-])C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+]",0,3,1,1,0,1,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID20605516","62999-25-1","AHZJWMHSAWQPIH-UHFFFAOYSA-N","C5F9IO",373.8850166,"O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I",0,1,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID501032994","167997-08-2","ABORRGDTJNGTLT-UHFFFAOYSA-N","C20H15F25N2O3",806.06834784,"C[N+](C)(CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-]",1,3,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID20195169","4236-15-1","NSAFUDAPGVUPIP-UHFFFAOYSA-N","C13H12F17NO3S",585.026643984,"CCCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1,3,1,1,0,1,1,1
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID001034238","919005-46-2","JCIHFTIEOXQJHO-UHFFFAOYSA-N","C8H3F13O4",409.982375436,"O=C(O)COC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F",1,3,1,1,0,0,1,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID40984178","65601-42-5","KOPNVUOTJAWXAA-UHFFFAOYSA-N","C12H12Cl2F16N3O4P3",728.916222634,"FC(F)C(F)(F)COP1(OCC(F)(F)C(F)F)=NP(Cl)(Cl)=NP(OCC(F)(F)C(F)F)(OCC(F)(F)C(F)F)=N1",0,7,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID80523484","90697-68-0","VKFYWRJGJQEYHT-UHFFFAOYSA-N","C12H9F6N5O",353.071129228,"NC(N)=NC1=NC(C(F)(F)F)(C(F)(F)F)N=C(c2ccccc2)O1",2,4,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID8059976","423-86-9","QDPPBTYBIPLUFD-UHFFFAOYSA-N","C11H6F17NO2S",538.984779172,"C=CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1,2,1,1,0,1,1,1
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID90896338","273735-34-5","FQPRLZDVXVSBBL-UHFFFAOYSA-N","C11H10F7N",289.07014686,"CCc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1N",1,1,1,1,0,1,1,1
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID401036529","NOCAS_1036529","QXZPVTMJPBWJCZ-UHFFFAOYNA-N","C17H7F23O5S",759.964693384,"O=C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)SC(=O)C(O)C(=O)O",2,5,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID90896535","78755-31-4","NGWMIKDDFJVFGQ-UHFFFAOYSA-N","C12H5F11O3",406.00630444,"O=C(Oc1ccccc1)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F",0,3,1,1,0,1,1,1
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID001036860","NOCAS_1036860","CDMLTTAFLYOEEX-UHFFFAOYSA-N","C10H16F5NO2",277.110119852,"C[N+](C)(CCCCC(F)(F)C(F)(F)F)CC(=O)[O-]",0,2,1,1,0,0,0,0
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID201032345","2089108-66-5","OKJADBQCVYOGPD-UHFFFAOYSA-O","C12H20F9N2O5S2",507.06699272,"C[N+](C)(CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCS(=O)(=O)O",2,4,1,1,0,0,1,1
"https://comptox.epa.gov/dashboard/chemical/details/DTXSID40703386","29338-35-0","NMVVGHDGWRDJQW-UHFFFAOYSA-N","C7H10F6O3",256.0534135,"CC(=O)O.CC(O)C(F)(F)C(F)C(F)(F)F",2,2,1,1,0,0,0,0
