"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES"
25,NA,"DKVGVNPCZVNONQ-UHFFFAOYSA-N","C9H3F7N2O4",335.998104116,"O=[N+]([O-])c1cc([N+](=O)[O-])cc(C(F)(C(F)(F)F)C(F)(F)F)c1"
26,NA,"UKBIKHOGARYBLY-UHFFFAOYSA-N","C11H4F11NO2",391.006638788,"O=[N+]([O-])c1cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1"
27,NA,"XSVUTHPDIIPLTQ-UHFFFAOYSA-N","C10H4F9NO2",341.009832348,"O=[N+]([O-])c1cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1"
28,NA,"LQYYVICTYPJDDJ-UHFFFAOYSA-N","C10H4BrF7N2O3",411.929351628,"O=[N+]([O-])c1ccc(N=C(O)C(F)(F)C(F)(F)C(F)(F)F)c(Br)c1"
29,NA,"AVFHBJSMSJZVFE-UHFFFAOYSA-N","C10H4F7NO4",335.002855148,"O=C(Oc1cccc([N+](=O)[O-])c1)C(F)(F)C(F)(F)C(F)(F)F"
30,NA,"ZRKXYIFJBYTAAB-UHFFFAOYSA-N","C10H4F7NO3",319.007940528,"O=C(c1ccc([N+](=O)[O-])cc1)C(F)(F)C(F)(F)C(F)(F)F"
31,NA,"ZNSFRNFHEGRVFR-UHFFFAOYSA-N","C9H4F7NO2",291.013025908,"O=[N+]([O-])c1ccc(C(F)(C(F)(F)F)C(F)(F)F)cc1"
32,NA,"VGHCHTBEJCZDFH-UHFFFAOYSA-N","C10H4F9NO2",341.009832348,"O=[N+]([O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1"
33,NA,"AUJMMOWFPBJGCY-UHFFFAOYSA-N","C9H4F7NO2",291.013025908,"O=[N+]([O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)F)cc1"
34,NA,"GYLVKWUPZMTHBJ-UHFFFAOYSA-N","C11H5F9N2O3S",415.987717,"O=[N+]([O-])c1ccc(C=NS(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1"
35,NA,"CUOUHXHRFRMHRU-UHFFFAOYSA-N","C15H5F17N2O3",584.00287176,"O=C(Nc1ccc([N+](=O)[O-])cc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
