"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES"
"DTXSID10892918","CAS_RN: 2823-49-6","ACWJDDIKDCUGLO-UHFFFAOYSA-N","C11HClF20O2",579.934571352,"O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl"
"DTXSID00895478","CAS_RN: 25600-64-0","ACXWRVKTAODIKP-UHFFFAOYSA-N","C8H9F7O2",270.049077068,"CC(=O)OCCCC(F)(F)C(F)(F)C(F)(F)F"
"",NA,"ACZNXOANYNRCGB-UHFFFAOYSA-O","C15H18F13N2O6S",601.067799156,"C[N+](C)(CCCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)O"
"DTXSID80895330","CAS_RN: 89109-69-3","ADCGKSAFZSUUER-UHFFFAOYSA-N","C16H9F25",676.030505788,"CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"",NA,"ADFQWOLUKYLWCE-UHFFFAOYSA-N","C6HF11O",297.985175072,"OC(F)(F)C(F)(F)C(F)(F)C(F)=C(F)C(F)(F)F"
"DTXSID8031865","CAS_RN: 68141-02-6","SNGREZUHAYWORS-UHFFFAOYSA-N","C8HF15O2",413.973702572,"O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID1070511","CAS_RN: 67584-60-5","ADSKDYCFRLKFDJ-UHFFFAOYSA-N","C12H12F11NO4S",475.031139284,"C=C(C)C(=O)OCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID70380003","CAS_RN: 82633-43-0","ADTJLQBSULGRRY-UHFFFAOYSA-N","C9H5F11N2",350.02770858,"Cc1cc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)n[nH]1"
"DTXSID00895756","CAS_RN: 106203-17-2","ADUVQDXZSJUGJY-UHFFFAOYSA-N","C7H6F7NO2",269.028675972,"COC(=O)C=C(N)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID50880495","CAS_RN: 59158-81-5","ADXLBHULARLUSE-UHFFFAOYSA-N","C6H6F6O",208.032284132,"C=CCOC(F)(F)C(F)C(F)(F)F"
