path,filename,samplename,group,sampletype,blank,mode
C:/Users/Peter/Documents/OSU/Fields Rotation/GitHub Projects/Example Input/KMD_7600_20240221_Spike_cal/input,EC_022024,spike samp mid cal std neg,CS6,SA,solvent,neg
C:/Users/Peter/Documents/OSU/Fields Rotation/GitHub Projects/Example Input/KMD_7600_20240221_Spike_cal/input,SB_01,standard blank IB,solvent,BK,solvent,neg
